"bird_ID";"TransmGSM";"Type";"LON";"LAT";"Start";"End"
"367";"SWIK75";"Settlement";7.296673;46.80651;"2020-03-03";"2020-05-29"
"5";"SWIK84";"Settlement";7.162927;46.859473;"2018-03-29";"2018-05-27"
"124";"SWIK90";"Settlement";7.83545;47.095821;"2020-03-17";"2020-06-18"
"6";"SWIK95";"Settlement";7.179045;46.800695;"2019-02-16";"2019-05-29"
"26";"WSIK06";"Settlement";7.285907;46.888975;"2018-04-04";"2018-06-22"
"37";"WSIK07";"Settlement";7.413244;46.831545;"2018-05-20";"2018-06-29"
"29";"WSIK12";"Settlement";7.300051;46.831779;"2019-03-23";"2019-06-27"
"116";"WSIK18";"Settlement";7.245072;46.771752;"2019-03-07";"2019-07-25"
"43";"WSIK25";"Settlement";7.184807;46.776087;"2019-03-17";"2019-06-22"
"56";"WSIK31";"Settlement";7.356385;46.887634;"2020-03-06";"2020-05-17"
"118";"WSIK35";"Settlement";7.418743;46.787492;"2019-03-30";"2019-07-23"
"399";"WSIK43";"Settlement";7.329151;46.807586;"2020-03-01";"2020-07-18"
"98";"WSIK49";"Settlement";7.246264;46.835464;"2018-04-04";"2018-06-01"
"95";"WSIK50";"Settlement";7.281381;46.78134;"2019-03-24";"2019-07-22"
"84";"WSIK55";"Settlement";7.219681;46.751518;"2019-04-20";"2019-07-15"
"108";"WSIK56";"Settlement";7.375421;46.853364;"2019-03-31";"2019-07-18"
"49";"WSIK57";"Settlement";7.325623;46.841147;"2019-03-23";"2019-06-07"
"55";"WSIK58";"Settlement";7.283139;46.827283;"2019-04-07";"2019-06-29"
"22";"WSIK60";"Settlement";6.976989;46.711089;"2018-08-23";"2018-11-20"
"74";"WSIK68";"Settlement";7.208258;46.742046;"2019-05-01";"2019-07-22"
"251";"WSIK73";"Settlement";7.34969;46.856127;"2020-03-02";"2020-05-20"
"523";"WSIK78";"Settlement";7.281303;46.855439;"2020-05-01";"2020-07-07"
"297";"WSIK79";"Settlement";13.128605;48.123124;"2019-04-24";"2019-07-11"
"488";"01F0C31C";"Settlement";7.39396;46.828761;"2021-04-18";"2021-04-29"
"495";"3B319F1C";"Settlement";9.042128;47.403205;"2021-02-18";"2021-04-22"
"492";"BD319F1C";"Settlement";6.842466;46.620253;"2021-03-12";"2021-04-22"
"506";"KISA15";"Settlement";3.02351;45.439243;"2021-04-07";"2021-04-29"
"514";"KISA20";"Settlement";7.355138;46.90144;"2021-04-19";"2021-04-29"
"511";"KISA23";"Settlement";7.240013;46.872394;"2021-03-09";"2021-04-22"
"426";"KISA25";"Settlement";7.275072;46.761395;"2021-03-23";"2021-04-22"
"262";"KIWS20";"Settlement";7.226348;46.812273;"2021-03-03";"2021-04-22"
"260";"KIWS23";"Settlement";7.135262;46.774613;"2021-02-24";"2021-04-22"
"401";"KIWS66";"Settlement";7.367136;46.780414;"2021-02-26";"2021-04-29"
"403";"KIWS67";"Settlement";7.364749;46.778454;"2021-04-01";"2021-04-22"
"402";"KIWS71";"Settlement";7.360129;46.79587;"2021-03-03";"2021-04-22"
"304";"KIWS75";"Settlement";8.876766;47.170404;"2021-04-05";"2021-04-22"
"343";"KIWS79";"Settlement";7.389716;46.802941;"2021-03-04";"2021-04-22"
"285";"KIWS92";"Settlement";7.342162;46.775343;"2021-04-04";"2021-04-16"
"316";"WSIK40";"Settlement";7.315608;46.768525;"2020-03-08";"2020-07-18"
"528";"WSIK81";"Settlement";7.249676;46.789108;"2021-03-22";"2021-04-22"
"438";"WSIK84";"Settlement";7.273974;46.834523;"2021-04-01";"2021-04-22"
"437";"WSIK85";"Settlement";7.279963;46.765398;"2021-03-24";"2021-04-29"
"358";"WSIK87";"Settlement";7.343668;46.78982;"2021-03-26";"2021-04-22"
"340";"WSIK92";"Settlement";7.247359;46.809611;"2020-04-07";"2020-07-18"
"325";"WSIK96";"Settlement";7.315665;46.807193;"2021-03-04";"2021-04-22"
"322";"BC38EB1D";"Settlement";7.285184;46.771456;"2019-04-24";"2019-06-26"
"91";"SWIK88";"Settlement";7.285184;46.771456;"2019-03-23";"2019-06-22"
